ID;name;catalognumber;cena brutto;ID regula podatkowa;ID kategorii;inInventory;picture;description;attributes
110;Lampa sufitowa ANDROMEDA II SC8373-50 Auhilon;SC8373-50;710.1;1;PLAFONY DESIGNERSKIE;6;https://polskielampy.pl/images//DECOLIGHT/NOWE2018_2/mini/450px_C8373-50_1.jpg;Lampy Deco Light to doskonała propozycja dla wszystkich nowoczesnych wnętrz, urządzonych z smakiem. Lampy Deco Light to zbiór ciekawych modernistycznych modeli lamp. Wśród kolekcji lamp Deco Light znajdują się nowoczesne lampy LED, lampy industrialne oraz techniczne oprawy sufitowe oraz kinkiety. W przypadku lamp wyposażonych LED gwarancja na moduł wynosi aż 3 lata ! Po okresie trzech lat, producent zapewnia serwis pogwarancyjny. Zapraszamy do skorzystania z wspaniałej oferty lamp Deco Light.;Wysokość:20 cm,Szerokość:50 cm,Materiał:Metal,Kolor:Czarny,Trzonek:Moduł LED,Moc żarówki:36W,Napięcie zasilania:230V,Ilość żarówek:,Kompatybilna z LED:,Źródło światła w komplecie:Tak,Klasa szczelności:IP20
111;Lampa sufitowa CHICAGO LED HY2634-828 Auhilon;HY2634-828;256.5;1;PLAFONY DESIGNERSKIE;10;https://polskielampy.pl/images//DECOLIGHT/mini/450px_chicago_HY2634-828_00 (Copy).jpg;Lampy Deco Light to doskonała propozycja dla wszystkich nowoczesnych wnętrz, urządzonych z smakiem. Lampy Deco Light to zbiór ciekawych modernistycznych modeli lamp. Wśród kolekcji lamp Deco Light znajdują się nowoczesne lampy LED, lampy industrialne oraz techniczne oprawy sufitowe oraz kinkiety. W przypadku lamp wyposażonych LED gwarancja na moduł wynosi aż 3 lata ! Po okresie trzech lat, producent zapewnia serwis pogwarancyjny. Zapraszamy do skorzystania z wspaniałej oferty lamp Deco Light.;Wysokość:7,5 cm,Szerokość:42 cm,Materiał:Tworzywo sztuczne,Kolor:Biały,Trzonek:Moduł LED,Moc żarówki:28W,Napięcie zasilania:230V,Ilość żarówek:1,Kompatybilna z LED:,Źródło światła w komplecie:,Klasa szczelności:
112;Oprawa sufitowa TYBER 3 /3091/ - Argon - Wyprzedaż;3091/Argon/W;100.0;1;PLAFONY INDUSTRIALNE;2;https://polskielampy.pl/images//lampy/ARGON/2019/mini/450px_3091.jpg;Wyprzedaż stanu magazynowego ! Wysyłamy w 24 godziny. Produkt nowy i oryginalnie zapakowany. Produkt nie pochodzi z ekspozycji !Lampy Argon to nasza rodzima Polska produkcja. Klosze oraz elementy konstrukcyjne są produkowane w Polsce. Dlatego też lampy Argon to najwyższa jakość wykonania. Firma kładzie również nacisk na nowoczesne wzornictwo i ciekawe formy. LampyArgonzyskały już popularność wśród projektantów i architektów. Polecamy lampy Argon do powierzchni mieszkalnych ale także komercyjnych. Lampy Argon to nieskończone możliwości modyfikacji oferowane przez samego producenta. Każdą lampę można na zlecenie dowolnie modyfikować, np zwiększając liczbę źródeł światła lub zmieniając długość lamp i żyrandoli. Lampy Argon są wykonywane na indywidualne zlecenie, dlatego też czas realizacji zamówień oscyluję w przedziale 7-21 dni. W ofercie kinkiety, lampy wiszące, plafony, lampy podłogowe, lampy stołowe Polskiej produkcji. Polecamy markę Argon wszystkim zwolennikom pięknego światła w rozsądnej cenie.;Wysokość:11 cm,Szerokość:7 cm,Materiał:Metal,Kolor:Biały,Trzonek:GU10,Moc żarówki:5W,Napięcie zasilania:230V,Ilość żarówek:1,Kompatybilna z LED:,Źródło światła w komplecie:Tak,Klasa szczelności:
113;Lampa spot sufitowa AGATE BL/G ZH-803-CZARNA Auhilon;ZH-803-CZARNA;206.1;1;PLAFONY INDUSTRIALNE;10;https://polskielampy.pl/images/DECOLIGHT/2018/mini/450px_ZH-803-CZARNA.jpg;Lampy Deco Light to doskonała propozycja dla wszystkich nowoczesnych wnętrz, urządzonych z smakiem. Lampy Deco Light to zbiór ciekawych modernistycznych modeli lamp. Wśród kolekcji lamp Deco Light znajdują się nowoczesne lampy LED, lampy industrialne oraz techniczne oprawy sufitowe oraz kinkiety. W przypadku lamp wyposażonych LED gwarancja na moduł wynosi aż 3 lata ! Po okresie trzech lat, producent zapewnia serwis pogwarancyjny. Zapraszamy do skorzystania z wspaniałej oferty lamp Deco Light.;Wysokość:15 cm,Szerokość:8 cm,Materiał:Metal,Kolor:Czarny,Trzonek:Moduł LED,Moc żarówki:15W,Napięcie zasilania:230V,Ilość żarówek:1,Kompatybilna z LED:,Źródło światła w komplecie:Tak,Klasa szczelności:IP20
114;Lampa spot sufitowa ALX F1009-BIAŁA Auhilon;F1009-BIAŁA;80.1;1;PLAFONY INDUSTRIALNE;10;https://polskielampy.pl/images/DECOLIGHT/2018/mini/450px_F1009-BIAŁA.jpg;Lampy Deco Light to doskonała propozycja dla wszystkich nowoczesnych wnętrz, urządzonych z smakiem. Lampy Deco Light to zbiór ciekawych modernistycznych modeli lamp. Wśród kolekcji lamp Deco Light znajdują się nowoczesne lampy LED, lampy industrialne oraz techniczne oprawy sufitowe oraz kinkiety. W przypadku lamp wyposażonych LED gwarancja na moduł wynosi aż 3 lata ! Po okresie trzech lat, producent zapewnia serwis pogwarancyjny. Zapraszamy do skorzystania z wspaniałej oferty lamp Deco Light.;Wysokość:14,2 cm,Szerokość:5,4 cm,Materiał:Metal,Kolor:Biały,Trzonek:Moduł LED,Moc żarówki:9W,Napięcie zasilania:230V,Ilość żarówek:1,Kompatybilna z LED:,Źródło światła w komplecie:Tak,Klasa szczelności:IP20
115;Lampa spot sufitowa ALX F1009-CZARNA Auhilon;F1009-CZARNA;80.1;1;PLAFONY INDUSTRIALNE;10;https://polskielampy.pl/images/mini/450px_F1009-CZARNA.jpg;Lampy Deco Light to doskonała propozycja dla wszystkich nowoczesnych wnętrz, urządzonych z smakiem. Lampy Deco Light to zbiór ciekawych modernistycznych modeli lamp. Wśród kolekcji lamp Deco Light znajdują się nowoczesne lampy LED, lampy industrialne oraz techniczne oprawy sufitowe oraz kinkiety. W przypadku lamp wyposażonych LED gwarancja na moduł wynosi aż 3 lata ! Po okresie trzech lat, producent zapewnia serwis pogwarancyjny. Zapraszamy do skorzystania z wspaniałej oferty lamp Deco Light.;Wysokość:14,2 cm,Szerokość:5,4 cm,Materiał:Metal,Kolor:Czarny,Trzonek:Moduł LED,Moc żarówki:9W,Napięcie zasilania:230V,Ilość żarówek:1,Kompatybilna z LED:,Źródło światła w komplecie:Tak,Klasa szczelności:IP20
116;Plafon MISTRAL wentylator wiatrak + Pilot ML6092 - Milagro;ML6092/Milagro;399.0;1;PLAFONY NOWOCZESNE;10;https://polskielampy.pl/images/milagro2017/mini/450px_ML6092.jpg;Doskonała nowoczesna plafoniera z funkcją wentylatora. Plafoniera MISTRALML6092to nowoczesna lampa o kompaktowych wymiarach: jej średnica wynosi 40 cm, a wysokość ma 19 cm. Model ten został wyposażony w praktyczny wentylator o mocy 25 W, który będzie przydatny szczególnie podczas ciepłych, letnich dni. Lampą można sterować za pomocą pilota. Dzięki niemu możliwa jest zmiana barwy światła lampy, jej ściemnianie, a także regulacja mocy wentylatora. Przy tym modelu jest także możliwość rotacji wstecznej wentylatora. Plafoniera ma mleczny klosz, z którym kontrastuje czarna, wewnętrzna część tego oświetlenia. Model MISTRAL jest wypukły, co zwraca uwagę i jednocześnie sprawia, że plafoniera staje jednym z wiodących elementów wystroju wnętrza. Uniwersalna kolorystyka tego modelu i jego minimalistyczny design sprawiają, że lampa będzie świetnie wyglądać w połączeniu z bielą, szarością, czernią, jak i z wyrazistymi kolorami, jak chociażby czerwony. Plafoniera MISTRAL od marki MiLAGRO została objęta gwarancją producenta, która trwa 24 miesiące. Klosz transparentnyPlafon sprawdzi się przede wszystkim w upalne dni. Ale można z niego korzystać cały rok powodując ruch powietrza w swoich wnętrzach. Nowoczesna lampa designerska z funkcyjnym pilotem sprawdzi się jako doskonałe oświetlenie, wentylator oraz wspaniała dekoracja do nowoczesnych wnętrz w designerskim stylu;Wysokość:18,Szerokość:40,Materiał:Metal,Kolor:Przezroczysty,Trzonek:Moduł LED,Moc żarówki:45W,Napięcie zasilania:230V,Ilość żarówek:1,Kompatybilna z LED:Nie,Źródło światła w komplecie:Tak,Klasa szczelności:IP20
117;Wentylator ANTIBES biały/brązowy 35069 - Eglo;35069/Eglo;1299.9;1;PLAFONY NOWOCZESNE;10;https://polskielampy.pl/images/EGLO/mini/450px_35069.jpg;Wentylator ANTIBES 35069- Eglo,renomowanego producenta oświetlenia wewnętrznego i zewnętrznego EGLO. Podstawa w kolorze białym wykonana ze stali i łopaty w kolorze brązowym z tworzywa sztucznego. Nowoczesny wygląd i precyzyjne wykończenie sprawia, że jest to idealna opcja dla osób ceniących sobie nowoczesny, a zarazem prosty wygląd. W zestawie znajdziemy wentylator jak i pilot sterujący urządzeniem co da użytkownikowi dużą wygodę w użytkowaniu. Wiatrak posiada wiele funkcji takich jak:Pięć poziomów prędkości - co daje możliwość regulacji siły wiatru w zależności od potrzeb.Ciepło/Zimno - dzięki czemu wiatrak spełni zadania w lecie jak i w zimie.Możliwość automatycznego wyłączenia wiatraka po 1/4/8 godzinach pracy.;Wysokość:30 cm,Szerokość:132 cm,Materiał:Metal,Kolor:Biały,Trzonek:,Moc żarówki:,Napięcie zasilania:230V,Ilość żarówek:,Kompatybilna z LED:,Źródło światła w komplecie:,Klasa szczelności:IP20
118;Wentylator ANTIBES czarny 35017 - Eglo;35017/Eglo;1899.9;1;PLAFONY NOWOCZESNE;10;https://polskielampy.pl/images/EGLO/mini/450px_35017.jpg;Wentylator ANTIBES 35017- Eglo,renomowanego producenta oświetlenia wewnętrznego i zewnętrznego EGLO. Wiatrak w kolorze czarnym wykonany ze stali i tworzywa sztucznego. Nowoczesny wygląd i precyzyjne wykończenie sprawia, że jest to idealna opcja dla osób ceniących sobie nowoczesny, a zarazem prosty wygląd. W zestawie znajdziemy wentylator jak i pilot sterujący urządzeniem co da użytkownikowi dużą wygodę w użytkowaniu. Wiatrak posiada wiele funkcji takich jak:Pięć poziomów prędkości - co daje możliwość regulacji siły wiatru w zależności od potrzeb.Ciepło/Zimno - dzięki czemu wiatrak spełni zadania w lecie jak i w zimie.Możliwość automatycznego wyłączenia wiatraka po 1/4/8 godzinach pracy.Moduł LED o mocy 18W i barwie światła 4000K;Wysokość:30 cm,Szerokość:132 cm,Materiał:Metal,Kolor:Czarny,Trzonek:Moduł LED,Moc żarówki:18W,Napięcie zasilania:230V,Ilość żarówek:1,Kompatybilna z LED:,Źródło światła w komplecie:Tak,Klasa szczelności:IP20
119;Wentylator ANTIBES czarny/brązowy 35072 - Eglo;35072/Eglo;1299.9;1;PLAFONY NOWOCZESNE;10;https://polskielampy.pl/images/EGLO/mini/450px_35072.jpg;Wentylator ANTIBES 35072- Eglo,renomowanego producenta oświetlenia wewnętrznego i zewnętrznego EGLO. Podstawa w kolorze czarnym wykonana ze stali i łopaty w kolorze brązowym z tworzywa sztucznego. Nowoczesny wygląd i precyzyjne wykończenie sprawia, że jest to idealna opcja dla osób ceniących sobie nowoczesny, a zarazem prosty wygląd. W zestawie znajdziemy wentylator jak i pilot sterujący urządzeniem co da użytkownikowi dużą wygodę w użytkowaniu. Wiatrak posiada wiele funkcji takich jak:Pięć poziomów prędkości - co daje możliwość regulacji siły wiatru w zależności od potrzeb.Ciepło/Zimno - dzięki czemu wiatrak spełni zadania w lecie jak i w zimie.Możliwość automatycznego wyłączenia wiatraka po 1/4/8 godzinach pracy.;Wysokość:30 cm,Szerokość:132 cm,Materiał:Metal,Kolor:Czarny,Trzonek:,Moc żarówki:,Napięcie zasilania:230V,Ilość żarówek:,Kompatybilna z LED:,Źródło światła w komplecie:,Klasa szczelności:IP20
