name,catalognumber,price,inInventory,picture,description,category,Wysokość,Szerokość,Specyfikacja
Lampa spot sufitowa CRESTON BL TP-F015-CZARNA Auhilon,TP-F015-CZARNA,215.10,10,https://polskielampy.pl/images/DECOLIGHT/2018/mini/450px_TP-F015-CZARNA.jpg,"Lampy Deco Light to doskonała propozycja dla wszystkich nowoczesnych wnętrz, urządzonych z smakiem. Lampy Deco Light to zbiór ciekawych modernistycznych modeli lamp. Wśród kolekcji lamp Deco Light znajdują się nowoczesne lampy LED, lampy industrialne oraz techniczne oprawy sufitowe oraz kinkiety. W przypadku lamp wyposażonych LED gwarancja na moduł wynosi aż 3 lata ! Po okresie trzech lat, producent zapewnia serwis pogwarancyjny. Zapraszamy do skorzystania z wspaniałej oferty lamp Deco Light.",SPOTY SUFITOWE,11 cm,"9,5 cm",Materiał:Metal   Kolor:Czarny   Trzonek:Moduł LED   Moc żarówkiL15W   Napięcie zasilaniaL230V   Ilość żarówekL1 Kompatybilna z LEDL   Źródło światła w komplecieLTak   Klasa szczelnościLIP20
Lampa spot sufitowa CRESTON II-15W WH TP-F015-BIAŁA Auhilon,TP-F015-BIAŁA,215.10,10,https://polskielampy.pl/images/DECOLIGHT/2018/mini/450px_TP-F015-BIAŁA.jpg,"Lampy Deco Light to doskonała propozycja dla wszystkich nowoczesnych wnętrz, urządzonych z smakiem. Lampy Deco Light to zbiór ciekawych modernistycznych modeli lamp. Wśród kolekcji lamp Deco Light znajdują się nowoczesne lampy LED, lampy industrialne oraz techniczne oprawy sufitowe oraz kinkiety. W przypadku lamp wyposażonych LED gwarancja na moduł wynosi aż 3 lata ! Po okresie trzech lat, producent zapewnia serwis pogwarancyjny. Zapraszamy do skorzystania z wspaniałej oferty lamp Deco Light.",SPOTY SUFITOWE,11 cm,"9,5 cm",Materiał:Metal   Kolor:Biały   Trzonek:Moduł LED   Moc żarówkiL15W   Napięcie zasilaniaL230V   Ilość żarówekL1 Kompatybilna z LEDL   Źródło światła w komplecieLTak   Klasa szczelnościLIP20
Lampa spot sufitowa MINI BL C1300-1L BL Auhilon,C1300-1L BL,89.10,10,https://polskielampy.pl/images/DECOLIGHT/2018/mini/450px_C1300-1L BL.jpg,"Lampy Deco Light to doskonała propozycja dla wszystkich nowoczesnych wnętrz, urządzonych z smakiem. Lampy Deco Light to zbiór ciekawych modernistycznych modeli lamp. Wśród kolekcji lamp Deco Light znajdują się nowoczesne lampy LED, lampy industrialne oraz techniczne oprawy sufitowe oraz kinkiety. W przypadku lamp wyposażonych LED gwarancja na moduł wynosi aż 3 lata ! Po okresie trzech lat, producent zapewnia serwis pogwarancyjny. Zapraszamy do skorzystania z wspaniałej oferty lamp Deco Light.",SPOTY SUFITOWE,"8,5 cm",8 cm,Materiał:Metal   Kolor:Czarny   Trzonek:GU10   Moc żarówkiL50W   Napięcie zasilaniaL230V   Ilość żarówekL1 Kompatybilna z LEDLTak   Źródło światła w komplecieLNie   Klasa szczelnościLIP20
Lampa spot sufitowa MINI WH C1300-1L WH Auhilon,C1300-1L WH,89.10,10,https://polskielampy.pl/images/DECOLIGHT/2018/mini/450px_C1300-1L WH.jpg,"Lampy Deco Light to doskonała propozycja dla wszystkich nowoczesnych wnętrz, urządzonych z smakiem. Lampy Deco Light to zbiór ciekawych modernistycznych modeli lamp. Wśród kolekcji lamp Deco Light znajdują się nowoczesne lampy LED, lampy industrialne oraz techniczne oprawy sufitowe oraz kinkiety. W przypadku lamp wyposażonych LED gwarancja na moduł wynosi aż 3 lata ! Po okresie trzech lat, producent zapewnia serwis pogwarancyjny. Zapraszamy do skorzystania z wspaniałej oferty lamp Deco Light.",SPOTY SUFITOWE,"8,5 cm",8 cm,Materiał:Metal   Kolor:Biały   Trzonek:GU10   Moc żarówkiL50W   Napięcie zasilaniaL230V   Ilość żarówekL1 Kompatybilna z LEDLTak   Źródło światła w komplecieLNie   Klasa szczelnościLIP20
Lampa spot sufitowa NERO C1255-1L WH/S Auhilon,C1255-1L WH/S,62.10,10,https://polskielampy.pl/images//DECOLIGHT/mini/450px_C1255-1L_1.jpg,"Lampy Deco Light to doskonała propozycja dla wszystkich nowoczesnych wnętrz, urządzonych z smakiem. Lampy Deco Light to zbiór ciekawych modernistycznych modeli lamp. Wśród kolekcji lamp Deco Light znajdują się nowoczesne lampy LED, lampy industrialne oraz techniczne oprawy sufitowe oraz kinkiety. W przypadku lamp wyposażonych LED gwarancja na moduł wynosi aż 3 lata ! Po okresie trzech lat, producent zapewnia serwis pogwarancyjny. Zapraszamy do skorzystania z wspaniałej oferty lamp Deco Light.",SPOTY SUFITOWE,"13,7 cm",10,Materiał:Metal   Kolor:Biały   Trzonek:GU10   Moc żarówkiL50W   Napięcie zasilaniaL230V   Ilość żarówekL1 Kompatybilna z LEDLTak   Źródło światła w komplecieLNie   Klasa szczelnościLIP20
Lampa spot sufitowa nowoczesna ZH-H12S-BIAŁA Auhilon,ZH-H12S-BIAŁA,179.10,10,https://polskielampy.pl/images/mini/450px_ZH-H12S-BIAŁA.jpg,"Lampy Deco Light to doskonała propozycja dla wszystkich nowoczesnych wnętrz, urządzonych z smakiem. Lampy Deco Light to zbiór ciekawych modernistycznych modeli lamp. Wśród kolekcji lamp Deco Light znajdują się nowoczesne lampy LED, lampy industrialne oraz techniczne oprawy sufitowe oraz kinkiety. W przypadku lamp wyposażonych LED gwarancja na moduł wynosi aż 3 lata ! Po okresie trzech lat, producent zapewnia serwis pogwarancyjny. Zapraszamy do skorzystania z wspaniałej oferty lamp Deco Light.",SPOTY SUFITOWE,10 cm,10 cm,Materiał:Metal   Kolor:Biały   Trzonek:Moduł LED   Moc żarówkiL12W   Napięcie zasilaniaL230V   Ilość żarówekL1 Kompatybilna z LEDL   Źródło światła w komplecieLTak   Klasa szczelnościLIP20
Lampa spot sufitowa POINT nowoczesna CN-A04 Auhilon,CN-A04,35.10,10,https://polskielampy.pl/images/DECOLIGHT/2018/mini/450px_CN-A04.jpg,"Lampy Deco Light to doskonała propozycja dla wszystkich nowoczesnych wnętrz, urządzonych z smakiem. Lampy Deco Light to zbiór ciekawych modernistycznych modeli lamp. Wśród kolekcji lamp Deco Light znajdują się nowoczesne lampy LED, lampy industrialne oraz techniczne oprawy sufitowe oraz kinkiety. W przypadku lamp wyposażonych LED gwarancja na moduł wynosi aż 3 lata ! Po okresie trzech lat, producent zapewnia serwis pogwarancyjny. Zapraszamy do skorzystania z wspaniałej oferty lamp Deco Light.",SPOTY SUFITOWE,"1,4 cm","6,9 cm",Materiał:Metal   Kolor:Srebrny   Trzonek:Moduł LED   Moc żarówkiL4W   Napięcie zasilaniaL230V   Ilość żarówekL1 Kompatybilna z LEDL   Źródło światła w komplecieLTak   Klasa szczelnościLIP20
Lampa spot sufitowa SARATOGA L ZT-810-BIAŁA Auhilon,ZT-810-BIAŁA,188.10,10,https://polskielampy.pl/images//DECOLIGHT/mini/450px_ZT-810-BIAŁA.jpg,"Lampy Deco Light to doskonała propozycja dla wszystkich nowoczesnych wnętrz, urządzonych z smakiem. Lampy Deco Light to zbiór ciekawych modernistycznych modeli lamp. Wśród kolekcji lamp Deco Light znajdują się nowoczesne lampy LED, lampy industrialne oraz techniczne oprawy sufitowe oraz kinkiety. W przypadku lamp wyposażonych LED gwarancja na moduł wynosi aż 3 lata ! Po okresie trzech lat, producent zapewnia serwis pogwarancyjny. Zapraszamy do skorzystania z wspaniałej oferty lamp Deco Light.",SPOTY SUFITOWE,32 cm,6 cm,Materiał:Metal   Kolor:Biały   Trzonek:Moduł LED   Moc żarówkiL10W   Napięcie zasilaniaL230V   Ilość żarówekL1 Kompatybilna z LEDL   Źródło światła w komplecieL   Klasa szczelnościL
Lampa spot sufitowa SARATOGA S ZT-805-BIAŁA Auhilon,ZT-805-BIAŁA,143.10,10,https://polskielampy.pl/images//DECOLIGHT/mini/450px_ZT-805-BIAŁA.jpg,"Lampy Deco Light to doskonała propozycja dla wszystkich nowoczesnych wnętrz, urządzonych z smakiem. Lampy Deco Light to zbiór ciekawych modernistycznych modeli lamp. Wśród kolekcji lamp Deco Light znajdują się nowoczesne lampy LED, lampy industrialne oraz techniczne oprawy sufitowe oraz kinkiety. W przypadku lamp wyposażonych LED gwarancja na moduł wynosi aż 3 lata ! Po okresie trzech lat, producent zapewnia serwis pogwarancyjny. Zapraszamy do skorzystania z wspaniałej oferty lamp Deco Light.",SPOTY SUFITOWE,20 cm,6 cm,Materiał:Metal   Kolor:Biały   Trzonek:Moduł LED   Moc żarówkiL5W   Napięcie zasilaniaL230V   Ilość żarówekL1 Kompatybilna z LEDL   Źródło światła w komplecieL   Klasa szczelnościL
Lampa spot sufitowa TUBA NERO C1234-1L BL Auhilon,C1234-1L BL,72.00,10,https://polskielampy.pl/images//DECOLIGHT/mini/450px_C1234-1L BL (Copy).jpg,"Lampy Deco Light to doskonała propozycja dla wszystkich nowoczesnych wnętrz, urządzonych z smakiem. Lampy Deco Light to zbiór ciekawych modernistycznych modeli lamp. Wśród kolekcji lamp Deco Light znajdują się nowoczesne lampy LED, lampy industrialne oraz techniczne oprawy sufitowe oraz kinkiety. W przypadku lamp wyposażonych LED gwarancja na moduł wynosi aż 3 lata ! Po okresie trzech lat, producent zapewnia serwis pogwarancyjny. Zapraszamy do skorzystania z wspaniałej oferty lamp Deco Light.",SPOTY SUFITOWE,"12,5 cm","9,6 cm",Materiał:Metal   Kolor:Czarny   Trzonek:GU10   Moc żarówkiL50W   Napięcie zasilaniaL230V   Ilość żarówekL1 Kompatybilna z LEDLTak   Źródło światła w komplecieLNie   Klasa szczelnościLIP20
Lampa spot sufitowa TUBA NERO C1234-1L WH Auhilon,C1234-1L WH,72.00,10,https://polskielampy.pl/images//DECOLIGHT/mini/450px_C1234-1L WH (Copy).jpg,"Lampy Deco Light to doskonała propozycja dla wszystkich nowoczesnych wnętrz, urządzonych z smakiem. Lampy Deco Light to zbiór ciekawych modernistycznych modeli lamp. Wśród kolekcji lamp Deco Light znajdują się nowoczesne lampy LED, lampy industrialne oraz techniczne oprawy sufitowe oraz kinkiety. W przypadku lamp wyposażonych LED gwarancja na moduł wynosi aż 3 lata ! Po okresie trzech lat, producent zapewnia serwis pogwarancyjny. Zapraszamy do skorzystania z wspaniałej oferty lamp Deco Light.",SPOTY SUFITOWE,"12,5 cm","9,6 cm",Materiał:Metal   Kolor:Biały   Trzonek:GU10   Moc żarówkiL50W   Napięcie zasilaniaL230V   Ilość żarówekL1 Kompatybilna z LEDLTak   Źródło światła w komplecieLNie   Klasa szczelnościLIP20
Lampa spot sufitowa TUBA NERO C1234-2L BL Auhilon,C1234-2L BL,116.10,10,https://polskielampy.pl/images//DECOLIGHT/mini/450px_C1234-2L BL_2 (Copy).jpg,"Lampy Deco Light to doskonała propozycja dla wszystkich nowoczesnych wnętrz, urządzonych z smakiem. Lampy Deco Light to zbiór ciekawych modernistycznych modeli lamp. Wśród kolekcji lamp Deco Light znajdują się nowoczesne lampy LED, lampy industrialne oraz techniczne oprawy sufitowe oraz kinkiety. W przypadku lamp wyposażonych LED gwarancja na moduł wynosi aż 3 lata ! Po okresie trzech lat, producent zapewnia serwis pogwarancyjny. Zapraszamy do skorzystania z wspaniałej oferty lamp Deco Light.",SPOTY SUFITOWE,"12,5 cm",18 cm,Materiał:Metal   Kolor:Czarny   Trzonek:GU10   Moc żarówkiL50W   Napięcie zasilaniaL230V   Ilość żarówekL2 Kompatybilna z LEDLTak   Źródło światła w komplecieLNie   Klasa szczelnościLIP20
Oprawa sufitowa  RONDOO SL 2 50407-BK  - Zuma Line,003064-001142,199.00,10,https://polskielampy.pl/images/!!!!!!!ZUMAA/rondo/mini/450px_RONDOO SL 2 50407-BK.jpg,"Oprawa sufitowa RONDOO to kształt połączonych dwóch tub w kolorze białym emitująca punktowe światło. Nie ma widocznych śrubek montażowych z boku spota, gdyż montowany jest bezpośrednio do sufitu. Możliwość ustawienia kąta padania światła nadaje oprawie funkcjonalności.",SPOTY SUFITOWE,"12,5 cm","17,7 cm",Materiał:Metal   Kolor:Czarny   Trzonek:GU10   Moc żarówkiL50W   Napięcie zasilaniaL230V   Ilość żarówekL2 Kompatybilna z LEDLTak   Źródło światła w komplecieLNie   Klasa szczelnościLIP20
Oprawa sufitowa  SPAZIO CK99603A-2 -Zuma Line,003064-001287,149.00,4,https://polskielampy.pl/images/ZumaLine/2017/mini/450px_CK99603A-2.jpg,"Oprawa sufitowa SPAZIO to połączenie pomysłowości z prostotą i dokładnością wykonania. Nowoczesna konstrukcja z metalu emituje ciepły, jasny blask tworząc niesamowicie przyjemną atmosferę pomieszczenia. Biały kolor dodaje subtelności pozwalając na wszechstronne zastosowanie w jasnych aranżacjach lub ciemnych dla kontrastu. Idealnie sprawdzi się w salonie lub pomieszczeniach biurowych.",SPOTY SUFITOWE,"7,5 cm",26 cm,Materiał:Metal   Kolor:Biały   Trzonek:Moduł LED   Moc żarówkiL5W   Napięcie zasilaniaL230V   Ilość żarówekL2 Kompatybilna z LEDL   Źródło światła w komplecieLTak   Klasa szczelnościLIP20
Oprawa sufitowa  SPAZIO CK99603A-3 -Zuma Line,003064-008183,199.00,2,https://polskielampy.pl/images/ZumaLine/2017/mini/450px_CK99603A-3.jpg,"Oprawa sufitowa SPAZIO to połączenie pomysłowości z prostotą i dokładnością wykonania. Nowoczesna konstrukcja z metalu i trzema źródłami światła emituje ciepły, jasny blask tworząc niesamowicie przyjemną atmosferę pomieszczenia. Biały kolor dodaje subtelności pozwalając na wszechstronne zastosowanie w jasnych aranżacjach lub ciemnych dla kontrastu. Idealnie sprawdzi się w salonie lub pomieszczeniach biurowych.",SPOTY SUFITOWE,"7,5 cm",41 cm,Materiał:Metal   Kolor:Biały   Trzonek:Moduł LED   Moc żarówkiL5W   Napięcie zasilaniaL230V   Ilość żarówekL3 Kompatybilna z LEDL   Źródło światła w komplecieLTak   Klasa szczelnościLIP20
Oprawa sufitowa BOX  SL 2 89949-G9 - Zuma Line,003064-001940,319.00,10,https://polskielampy.pl/images//ZumaLine/2019/mini/450px_89949-g9.jpg,"Oprawa sufitowa BOX to połączenie minimalistycznego designu z wysoką jakością. Prostokątny plafon wykonany z aluminium w kolorze białym. Oprawa wyposażona jest w odbłyśnik, światło pada w szerokim kącie. Możliwość regulacji kąta padania strumieni światła nadaje niezwykłą funkcjonalność. Idealnie nada się do salonu, kuchni czy biura.",SPOTY SUFITOWE,12 cm,24 cm,Materiał:Metal   Kolor:Biały   Trzonek:G9   Moc żarówkiL42W   Napięcie zasilaniaL230V   Ilość żarówekL2 Kompatybilna z LEDLTak   Źródło światła w komplecieLNie   Klasa szczelnościLIP20
Oprawa sufitowa BOX SL 1 89947-G9 - Zuma Line,003064-001939,169.00,10,https://polskielampy.pl/images/!!!!!!!!!ZUMMM/mini/450px_89947.jpg,Oprawa sufitowa BOX oferuje unikalny design oraz precyzyjne wykonanie z najlepszej jakości materiałów. Możliwość regulacji strumieni światła nadaje niezwykłej funkcjonalności produktu. Nada się do wykreowania i dopełnienia stylu każdego wnętrza. Sprawdzi się w kuchni czy salonie.,SPOTY SUFITOWE,12 cm,12 cm,Materiał:Metal   Kolor:Biały   Trzonek:G9   Moc żarówkiL42W   Napięcie zasilaniaL230V   Ilość żarówekL1 Kompatybilna z LEDLTak   Źródło światła w komplecieLNie   Klasa szczelnościLIP20
Oprawa sufitowa BOX SL 1 90432-G9 - Zuma Line,003064-001937,169.00,10,https://polskielampy.pl/images/!!!!!!!!!ZUMMM/mini/450px_boxBk.jpg,Oprawa sufitowa BOX to połączenie nowoczesnego stylu z elegancją i klasyką. Wykonany z wysokiej jakości aluminium. Ruchomy punkt świetlny daje możliwość regulacji kąta padania strumienia światła dodając funkcjonalności. Doskonale sprawdzi się jako doświetlenie salonu czy biura.,SPOTY SUFITOWE,12 cm,12 cm,Materiał:Metal   Kolor:Czarny   Trzonek:G9   Moc żarówkiL42W   Napięcie zasilaniaL230V   Ilość żarówekL1 Kompatybilna z LEDLTak   Źródło światła w komplecieLNie   Klasa szczelnościLIP20
Oprawa sufitowa BOXY CL 2 20075-BK - Zuma Line,003064-008209,399.00,10,https://polskielampy.pl/images/ZumaLine/2018/mini/450px_20075-BK.jpg,"Oprawa sufitowa BOXY to połączenie minimalizmu z nowoczesnością. Oryginalny, prostokątny kształt dodaje niezwykłej elegancji. Czarny kolor dodaje niesamowitego charakteru, który pozwala na wielofunkcyjne zastosowanie. Precyzyjnie wykonany z najwyższej jakości metalu. Dwupunktowy spot perfekcyjnie sprawdzi się w przestrzeni domowej lub biurowej.",SPOTY SUFITOWE,12 cm,16 cm,Materiał:Metal   Kolor:Czarny   Trzonek:GU10   Moc żarówkiL15W   Napięcie zasilaniaL230V   Ilość żarówekL2 Kompatybilna z LEDLTak   Źródło światła w komplecieLNie   Klasa szczelnościLIP20
Oprawa sufitowa BOXY CL 2 20075-WH - Zuma Line,003064-008210,399.00,10,https://polskielampy.pl/images/ZumaLine/2018/mini/450px_20075-WH.jpg,"Oprawa sufitowa BOXYto połączenie estetyki z komfortem użytkowania i funkcjonalnością.Oryginalny, prostokątny kształt dodaje niezwykłej elegancji. Biały kolor dodaje niesamowitej subtelności i uniwersalności, która pozwala na wielofunkcyjne zastosowanie. Precyzyjnie wykonany z najwyższej jakości metalu. Dwupunktowy spot perfekcyjnie sprawdzi się w salonie, korytarzu czy biurze.",SPOTY SUFITOWE,12 cm,16 cm,Materiał:Metal   Kolor:Biały   Trzonek:GU10   Moc żarówkiL15W   Napięcie zasilaniaL230V   Ilość żarówekL2 Kompatybilna z LEDLTak   Źródło światła w komplecieLNie   Klasa szczelnościLIP20
Oprawa sufitowa BOXY CL 20074-BK - Zuma Line,003064-008208,219.00,10,https://polskielampy.pl/images/ZumaLine/2018/mini/450px_20074-BK.jpg,"Oprawa sufitowa BOXYto połączenie estetyki z komfortem użytkowania i funkcjonalnością.Oryginalny, geometryczny kształt dodaje niezwykłej elegancji. Czarny kolor dodaje niesamowitego charakteru który pozwala na wielofunkcyjne zastosowanie. Klasyczny i minimalistyczny design doskonale sprawdzi się w nowoczesnych aranżacjach. Perfekcyjnie sprawdzi się w przestrzeni domowej lub biurowej.",SPOTY SUFITOWE,12 cm,16 cm,Materiał:Metal   Kolor:Czarny   Trzonek:GU10   Moc żarówkiL15W   Napięcie zasilaniaL230V   Ilość żarówekL1 Kompatybilna z LEDLTak   Źródło światła w komplecieLNie   Klasa szczelnościLIP20
Oprawa sufitowa BOXY CL 4 20076-WH - Zuma Line,003064-008211,373.00,10,https://polskielampy.pl/images/ZumaLine/2018/mini/450px_20076-wh.jpg,"Oprawa sufitowa BOXYto połączenie innowacyjnego pomysłu z nowoczesną formą i precyzyjnością wykonania.Oryginalny, kwadratowy kształt dodaje niezwykłej elegancji. Biały kolor dodaje niesamowitej subtelności i uniwersalności, która pozwala na wielofunkcyjne zastosowanie. Precyzyjnie wykonany z najwyższej jakości metalu. Minimalistyczny spot perfekcyjnie sprawdzi się w salonie, kuchni czy biurze.",SPOTY SUFITOWE,12 cm,31 cm,Materiał:Metal   Kolor:Biały   Trzonek:GU10   Moc żarówkiL15W   Napięcie zasilaniaL230V   Ilość żarówekL4 Kompatybilna z LEDLTak   Źródło światła w komplecieLNie   Klasa szczelnościLIP20
Oprawa sufitowa BOXY DL 4 20073-BK - Zuma Line,003064-008204,320.00,10,https://polskielampy.pl/images//ZumaLine/2019/mini/450px_20073-bk.jpg,"Oprawa sufitowa BOXY to połączenie modnego designu z dopracowanymi detalami i najlepszą jakością. Minimalistyczna, czteropunktowa lampa o czarnym kolorze dodaje wnętrzu niesamowitego klimatu i charakteru. Oryginalny kształt dodaje niezwykłej elegancji. Tradycyjny design doskonale sprawdzi się w nowoczesnych aranżacjach. Idealnie nada się do salonu, korytarza czy biura.",SPOTY SUFITOWE,,35 cm,Materiał:Metal   Kolor:Czarny   Trzonek:GU10   Moc żarówkiL15W   Napięcie zasilaniaL230V   Ilość żarówekL4 Kompatybilna z LEDLTak   Źródło światła w komplecieLNie   Klasa szczelnościLIP20
Oprawa sufitowa BOXY DL 4 20073-WH - Zuma Line,003064-008205,320.00,10,https://polskielampy.pl/images//ZumaLine/2019/mini/450px_20073-wh.jpg,"Oprawa do wbudowania BOXY to połączenie modnego designu z dopracowanymi detalami i najlepszą jakością. Minimalistyczna, czteropunktowa lampa o białym kolorze dodaje wnętrzu niesamowitej subtelności. Oryginalny kształt dodaje niezwykłej elegancji. Tradycyjny design doskonale sprawdzi się w nowoczesnych aranżacjach. Idealnie nada się do salonu, korytarza czy biura.",SPOTY SUFITOWE,,35 cm,Materiał:Metal   Kolor:Biały   Trzonek:GU10   Moc żarówkiL15W   Napięcie zasilaniaL230V   Ilość żarówekL4 Kompatybilna z LEDLTak   Źródło światła w komplecieLNie   Klasa szczelnościLIP20
Oprawa sufitowa DEEP SL 89313  - Zuma Line,003064-001146,99.00,10,https://polskielampy.pl/images/!!!!!!!!!ZUMMM/mini/450px_89313.jpg,Oprawa sufitowa DEEP składa się z podłużnego owalnego klosza wykonanego z aluminium. Oferuje oświetlenie o unikalnym designie oraz wykonanie z najlepszej jakości materiałów. Kolor złoty nadaje oprawie charakteru i wyjątkowego klimatu.,SPOTY SUFITOWE,14 cm,"9,6 cm",Materiał:Metal   Kolor:Czarny   Trzonek:GU10   Moc żarówkiL50W   Napięcie zasilaniaL230V   Ilość żarówekL1 Kompatybilna z LEDLTak   Źródło światła w komplecieLNie   Klasa szczelnościLIP20
Oprawa sufitowa GASTER GU16016-3TU-BK – Zuma Line,003064-007887,139.00,10,https://polskielampy.pl/images//ZumaLine/2018/mini/450px_GU16016-3TU-BK_1.jpg,Oprawa sufitowa GASTER charakteryzuje się prostą formą i dokładnością wykonania. Kuliste klosze w czarnym kolorze dodają niezwykłego klimatu do wnętrza. Oryginalny kształt dodaje doskonałej elegancji. Nietypowe i interesujące wzornictwo perfekcyjnie spełni funkcję wyjątkowej ozdoby. Ten rodzaj wyjątkowo i klimatycznie rozproszy światło w każdym wnętrzu. Lampa podkreśla nowoczesny charakter i klimat pomieszczenia. Doskonale sprawdzi się w salonie czy sypialni.,SPOTY SUFITOWE,16 cm,8 cm,Materiał:Metal   Kolor:Czarny   Trzonek:GU10   Moc żarówkiL50W   Napięcie zasilaniaL230V   Ilość żarówekL3 Kompatybilna z LEDLTak   Źródło światła w komplecieLNie   Klasa szczelnościLIP20
Oprawa sufitowa GASTER GU16016-4TU2-BK – Zuma Line,003064-007888,179.00,10,https://polskielampy.pl/images//ZumaLine/2018/mini/450px_GU16016-4TU2-BK_1.jpg,"Oprawa sufitowa GASTERto połączenie estetyki z komfortem użytkowania i funkcjonalnością.Kuliste klosze w czarnym kolorze dodają niezwykłego klimatu do wnętrza. Oryginalny kształt dodaje doskonałej elegancji. Nietypowe i ciekawe wzornictwo perfekcyjnie spełni funkcję wyjątkowej ozdoby. Ten rodzaj wyjątkowo i klimatycznie rozproszy światło w każdym wnętrzu. Lampa podkreśla nowoczesny charakter i klimat pomieszczenia. Doskonale sprawdzi się w salonie, kuchni czy jadalni.",SPOTY SUFITOWE,16 cm,8 cm,Materiał:Metal   Kolor:Czarny   Trzonek:GU10   Moc żarówkiL50W   Napięcie zasilaniaL230V   Ilość żarówekL4 Kompatybilna z LEDLTak   Źródło światła w komplecieLNie   Klasa szczelnościLIP20
Oprawa sufitowa GO SL T 2 20033-WH - Zuma Line,003064-000914,159.00,10,https://polskielampy.pl/images//ZumaLine/2017/mini/450px_20033-WH.jpg,"Oprawa sufitowa GO to połączenie oryginalności z niebanalnym stylem i najwyższą jakością materiałów. Nowoczesna konstrukcja z aluminium emituje ciepły, jasny blask tworząc niesamowicie przyjemną atmosferę pomieszczenia. Klasyczna biel dodaje szlachetności i wyjątkowego stylu. Dwupunktowa lampa doskonale nada się do oświetlenia pokoi dziennych czy sypialni.",SPOTY SUFITOWE,"22,3 cm","33,7 cm",Materiał:Metal   Kolor:Biały   Trzonek:G9   Moc żarówkiL40W   Napięcie zasilaniaL230V   Ilość żarówekL2 Kompatybilna z LEDLTak   Źródło światła w komplecieLNie   Klasa szczelnościLIP20
Oprawa sufitowa LUXE AWG9-046 - Zuma Line,003064-009304,79.00,10,https://polskielampy.pl/images//ZumaLine/2019/mini/450px_awg9-046.jpg,"Oprawa sufitowa LUXEto połączenie estetyki z komfortem użytkowania i funkcjonalnością.Oryginalny kształt dodaje niezwykłej elegancji. Nowoczesna konstrukcja z metalu emituje ciepły, jasny blask tworząc niesamowicie przyjemną atmosferę pomieszczenia. Biały kolor dodaje subtelności i uniwersalności, która pozwala na wielofunkcyjne zastosowanie. Ten minimalistyczny kształt idealnie nada się do salonu czy pomieszczeń biurowych.",SPOTY SUFITOWE,15 cm,16 cm,Materiał:Metal   Kolor:Biały   Trzonek:G9   Moc żarówkiL40W   Napięcie zasilaniaL230V   Ilość żarówekL1 Kompatybilna z LEDLTak   Źródło światła w komplecieLNie   Klasa szczelnościLIP20
Oprawa sufitowa LUXE AWG9-048 - Zuma Line,003064-009303,109.00,10,https://polskielampy.pl/images//ZumaLine/2019/mini/450px_awg9-048.jpg,"Oprawa sufitowa LUXE to połączenie innowacyjnego pomysłu z nowoczesną formą i precyzyjnością wykonania. Oryginalny kształt dodaje niezwykłej elegancji. Nowoczesna konstrukcja z metalu emituje ciepły, jasny blask tworząc niesamowicie przyjemną atmosferę pomieszczenia. Srebrny kolor dodaje szlachetności i uniwersalności, która pozwala na wielofunkcyjne zastosowanie. Ten minimalistyczny kształt idealnie nada się do salonu czy pomieszczeń biurowych.",SPOTY SUFITOWE,15 cm,16 cm,Materiał:Metal   Kolor:Srebrny   Trzonek:G9   Moc żarówkiL40W   Napięcie zasilaniaL230V   Ilość żarówekL1 Kompatybilna z LEDLTak   Źródło światła w komplecieLNie   Klasa szczelnościLIP20
Oprawa sufitowa MAC SL ACGU10-140 - Zuma Line,003064-009299,98.00,10,https://polskielampy.pl/images//ZumaLine/2019/mini/450px_acgu10-140.jpg,Oprawa sufitowa MAC charakteryzuje się prostą formą i dokładnością wykonania. Geometryczny kształt dodaje oryginalności i klasyki wnętrzu. Wykonana w całości z wysokiej jakości materiału w białym kolorze. Elegancki i minimalistyczny design doskonale sprawdzi się w nowoczesnych aranżacjach. Idealnie sprawdzi się w przestrzeni domowej lub biurowej.,SPOTY SUFITOWE,"8,4 cm",11 cm,Materiał:Metal   Kolor:Biały   Trzonek:GU10   Moc żarówkiL50W   Napięcie zasilaniaL230V   Ilość żarówekL1 Kompatybilna z LEDLTak   Źródło światła w komplecieLNie   Klasa szczelnościLIP20
Oprawa sufitowa MAC SL ACGU10-141 - Zuma Line,003064-009300,84.60,10,https://polskielampy.pl/images//ZumaLine/2019/mini/450px_acgu10-141.jpg,Oprawa sufitowa MAC charakteryzuje się prostą formą i dokładnością wykonania. Geometryczny kształt dodaje oryginalności i klasyki wnętrzu. Wykonana w całości z wysokiej jakości materiału w czarnym kolorze. Elegancki i minimalistyczny design doskonale sprawdzi się w nowoczesnych aranżacjach. Idealnie sprawdzi się w przestrzeni domowej lub biurowej.,SPOTY SUFITOWE,"8,4 cm",11 cm,Materiał:Metal   Kolor:Czarny   Trzonek:GU10   Moc żarówkiL50W   Napięcie zasilaniaL230V   Ilość żarówekL1 Kompatybilna z LEDLTak   Źródło światła w komplecieLNie   Klasa szczelnościLIP20
