name,catalognumber,price,inInventory,picture,description,category,Wysokość,Szerokość,Specyfikacja
Plafon NODI CRYSTAL PL15 093512 -Ideal Lux,093512/IL,4850.40,10,https://polskielampy.pl/images//lampy/IdealLux/2018/mini/450px_093512_1.jpg,"IDEAL LUX to włoski producent lamp najwyższej jakości. Polecamy lampy IDEAL LUX wszystkim ceniącym sobie najwyższą jakość wykonania i najlepsze materiały. Tradycyjny włoski design w połączeniu z najnowszymi technologiami to główne cechy lamp IDEAL LUX. W ofercie lamp IDEAL LUX możemy znaleźć piękne lampy kryształowe, żyrandole klasyczne i abażurowe, lampy stołowe jak również serie oświetlenia ogrodowego: kinkiety, lampy wiszące, stojące oraz latarnie.",PLAFONY DESIGNERSKIE,45 cm,75 cm,Materiał:Szkło kryształowe   Kolor:Chrom   Trzonek:G9   Moc żarówkiL40W   Napięcie zasilaniaL230V   Ilość żarówekL15 Kompatybilna z LEDLTak   Źródło światła w komplecieLNie   Klasa szczelnościLIP20
Plafon NODI CRYSTAL PL9 093505 -Ideal Lux,093505/IL,2687.80,10,https://polskielampy.pl/images//lampy/IdealLux/2018/mini/450px_093505_1.jpg,"IDEAL LUX to włoski producent lamp najwyższej jakości. Polecamy lampy IDEAL LUX wszystkim ceniącym sobie najwyższą jakość wykonania i najlepsze materiały. Tradycyjny włoski design w połączeniu z najnowszymi technologiami to główne cechy lamp IDEAL LUX. W ofercie lamp IDEAL LUX możemy znaleźć piękne lampy kryształowe, żyrandole klasyczne i abażurowe, lampy stołowe jak również serie oświetlenia ogrodowego: kinkiety, lampy wiszące, stojące oraz latarnie.",PLAFONY DESIGNERSKIE,45 cm,60 cm,Materiał:Szkło kryształowe   Kolor:Chrom   Trzonek:G9   Moc żarówkiL40W   Napięcie zasilaniaL230V   Ilość żarówekL9 Kompatybilna z LEDLTak   Źródło światła w komplecieLNie   Klasa szczelnościLIP20
Plafon PAULINE PL5 111117 -Ideal Lux,111117/IL,2292.40,10,https://polskielampy.pl/images//lampy/IdealLux/2018/mini/450px_111117_1.jpg,"IDEAL LUX to włoski producent lamp najwyższej jakości. Polecamy lampy IDEAL LUX wszystkim ceniącym sobie najwyższą jakość wykonania i najlepsze materiały. Tradycyjny włoski design w połączeniu z najnowszymi technologiami to główne cechy lamp IDEAL LUX. W ofercie lamp IDEAL LUX możemy znaleźć piękne lampy kryształowe, żyrandole klasyczne i abażurowe, lampy stołowe jak również serie oświetlenia ogrodowego: kinkiety, lampy wiszące, stojące oraz latarnie.",PLAFONY DESIGNERSKIE,31 cm,70 cm,Materiał:Szkło   Kolor:Dymiony   Trzonek:G9   Moc żarówkiL40W   Napięcie zasilaniaL230V   Ilość żarówekL5 Kompatybilna z LEDLTak   Źródło światła w komplecieLNie   Klasa szczelnościLIP20
Plafon QUADRO PL11 036045 -Ideal Lux,036045/IL,3509.60,10,https://polskielampy.pl/images//lampy/IdealLux/2018/mini/450px_036045_1.jpg,"IDEAL LUX to włoski producent lamp najwyższej jakości. Polecamy lampy IDEAL LUX wszystkim ceniącym sobie najwyższą jakość wykonania i najlepsze materiały. Tradycyjny włoski design w połączeniu z najnowszymi technologiami to główne cechy lamp IDEAL LUX. W ofercie lamp IDEAL LUX możemy znaleźć piękne lampy kryształowe, żyrandole klasyczne i abażurowe, lampy stołowe jak również serie oświetlenia ogrodowego: kinkiety, lampy wiszące, stojące oraz latarnie.",PLAFONY DESIGNERSKIE,50 cm,100 cm,Materiał:Metal   Kolor:Srebrny   Trzonek:G9   Moc żarówkiL40W   Napięcie zasilaniaL230V   Ilość żarówekL11 Kompatybilna z LEDLTak   Źródło światła w komplecieLNie   Klasa szczelnościLIP20
Plafon QUADRO PL12 031651 -Ideal Lux,031651/IL,4158.40,10,https://polskielampy.pl/images//lampy/IdealLux/2018/mini/450px_031651_1.jpg,"IDEAL LUX to włoski producent lamp najwyższej jakości. Polecamy lampy IDEAL LUX wszystkim ceniącym sobie najwyższą jakość wykonania i najlepsze materiały. Tradycyjny włoski design w połączeniu z najnowszymi technologiami to główne cechy lamp IDEAL LUX. W ofercie lamp IDEAL LUX możemy znaleźć piękne lampy kryształowe, żyrandole klasyczne i abażurowe, lampy stołowe jak również serie oświetlenia ogrodowego: kinkiety, lampy wiszące, stojące oraz latarnie.",PLAFONY DESIGNERSKIE,78 cm,78 cm,Materiał:Metal   Kolor:Srebrny   Trzonek:G9   Moc żarówkiL40W   Napięcie zasilaniaL230V   Ilość żarówekL12 Kompatybilna z LEDLTak   Źródło światła w komplecieLNie   Klasa szczelnościLIP20
Plafon QUADRO PL8 031668 -Ideal Lux,031668/IL,2533.30,10,https://polskielampy.pl/images//lampy/IdealLux/2018/mini/450px_031668_1.jpg,"IDEAL LUX to włoski producent lamp najwyższej jakości. Polecamy lampy IDEAL LUX wszystkim ceniącym sobie najwyższą jakość wykonania i najlepsze materiały. Tradycyjny włoski design w połączeniu z najnowszymi technologiami to główne cechy lamp IDEAL LUX. W ofercie lamp IDEAL LUX możemy znaleźć piękne lampy kryształowe, żyrandole klasyczne i abażurowe, lampy stołowe jak również serie oświetlenia ogrodowego: kinkiety, lampy wiszące, stojące oraz latarnie.",PLAFONY DESIGNERSKIE,50 cm,50 cm,Materiał:Metal   Kolor:Srebrny   Trzonek:G9   Moc żarówkiL40W   Napięcie zasilaniaL230V   Ilość żarówekL8 Kompatybilna z LEDLTak   Źródło światła w komplecieLNie   Klasa szczelnościLIP20
Lampa sufitowa UDINE postarzany złoty DC0023 - Decorativi,DC0023,2295.00,10,https://polskielampy.pl/images/netalogue/zoom/mini/450px_22B4F305-9B3C-624B-AE05-2F3D04F2D105.jpg,"Lampa sufitowa designerska UDINE DC0023 - producenta DECORATIVI, który oferuje nam intrygujące i eleganckie lampy, które z pewnością wzbudzą zachwyt u każdego. Lampy zostały stworzone dla ludzi wymagających, chcących wnieść do swojego domu oryginalnego i wyrafinowanego stylu. UDINE w swojej ofercie posiada lampę sufitową oraz wiszącą. Wykonane zostały z wysokiej jakości stali malowanej w kolorze postarzanego złota połączonej z szklanymi wisiorkami imitującymi krople wody. W lampie został zamontowany trzonek E14, który pozwala nam stosowanie żarówki LED, klasycznej, jak i dekoracyjnej o maksymalnej mocy 40W. UDINE to propozycja dla ludzi lubiących piękny i oryginalny styl Lampa sprawi, iż odwiedzający nas goście z zachwytem będą oglądać nasze oświetlenie. Jest to idealna propozycja do montażu w salonie, sypialni, jadalni, czy holu.",PLAFONY DESIGNERSKIE,30 cm,55 cm,Materiał:Metal   Kolor:Złoty   Trzonek:E14   Moc żarówkiL40W   Napięcie zasilaniaL230V   Ilość żarówekL3 Kompatybilna z LEDLTak   Źródło światła w komplecieLNie   Klasa szczelnościLIP20
Opawa sufitowa CARRARA 4  LP-1864/4C - Light Prestige,LP-1864/4C,255.10,10,https://polskielampy.pl/images/Lightprestige/LP-18644C/mini/450px_LP-18644C_1.jpg,Plafon CARRARA 4 LP-1864/4C - Light Prestige,PLAFONY DESIGNERSKIE,18 cm,25 cm,Materiał:Metal   Kolor:Chrom   Trzonek:Moduł LED   Moc żarówkiL5W   Napięcie zasilaniaL230V   Ilość żarówekL4 Kompatybilna z LEDLNie   Źródło światła w komplecieLTak   Klasa szczelnościLIP20
Oprawa sufitowa AERITH 3 76122- Endon,76122/END,534.00,10,https://polskielampy.pl/images//Endon/2019/mini/450px_76122.jpg,"Oprawa sufitowa AERITH 3 76122to połączenie minimalizmu z nowoczesnością i atrakcyjnym wzornictwem. Brytyjski producentEndonoferuje modernistyczny design, interesującą stylistykę z najlepszą jakością. Oryginalna forma w szlachetnej kolorystyce z łatwością dopasuje się do każdej aranżacji zachwycając delikatnością i elegancją. Pięknie rozproszone światło wydobywające się przez dekoracyjną oprawę podkreśli niebywale przyjemną i klimatyczną atmosferę we wnętrzu. Oprawa sufitowaAerithdoskonale sprawdzi się w kuchni, sypialni, pokoju dziennym, jadalni czy biurze.",PLAFONY DESIGNERSKIE,12 cm,26 cm,Materiał:Metal   Kolor:Chrom   Trzonek:G9   Moc żarówkiL   Napięcie zasilaniaL230V   Ilość żarówekL3 Kompatybilna z LEDLTak   Źródło światła w komplecieLNie   Klasa szczelnościLIP20
Oprawa sufitowa Agneta 3  AGN5350 - Dar Lighting,AGN5350,1418.00,10,https://polskielampy.pl/images/images/DAR/1200/mini/450px_AGN5350.jpg,"Oprawa sufitowa Agneta 3 AGN5350to połączenie unikalnego designu z klasyką, elegancją i wysoką jakością materiałów. Renomowany, brytyjski producentDar Lightingoferuje indywidualne podejście, modernistyczne wzornictwo z precyzyjnym wykończeniem. Solidna konstrukcja z dekoracyjnymi, szklanymi kloszami nada niesamowitego efektu wizualnego podkreślając subtelność i wdzięk oprawy. Istotną zaletą jest perfekcyjne rozszczepienie światła gwarantując przyjemną atmosferę i charakterystyczny klimat w pomieszczeniu. Oprawa sufitowaAgnetadoskonale sprawdzi się w przestrzeni domowej czy komercyjnej jako dodatkowe lub główne źródło światła.",PLAFONY DESIGNERSKIE,14 cm,35 cm,Materiał:Metal   Kolor:Chrom   Trzonek:E14   Moc żarówkiL40W   Napięcie zasilaniaL230V   Ilość żarówekL3 Kompatybilna z LEDLTak   Źródło światła w komplecieLNie   Klasa szczelnościLIP20
